Date,Name of Basin ,Name of Sub-Basin,QPF issued  valid for Day-1,QPF issued  valid for Day-2,QPF issued  valid for Day-3,QPF issued  valid for Day-4,QPF issued  valid for Day-5,QPF issued  valid for Day-6,QPF issued  valid for Day-7,Realized Rainfall in mm
30-Jul-2025,Ganga,BAGMATI/ADHWARA,0.1-10,0.1-10,25-Nov,26-37,26-37,25-Nov,25-Nov,2.2
30-Jul-2025,Ganga,GANDAK,0.1-10,0.1-10,25-Nov,26-37,26-37,25-Nov,25-Nov,4.8
30-Jul-2025,Ganga,SON,25-Nov,25-Nov,25-Nov,25-Nov,25-Nov,0.1-10,0.1-10,6.4
30-Jul-2025,Ganga,PUNPUN/DHAB NADI,0.1-10,25-Nov,25-Nov,25-Nov,25-Nov,0.1-10,0.1-10,8.7
30-Jul-2025,Ganga,NORTH KOEL,25-Nov,25-Nov,25-Nov,0.1-10,25-Nov,0.1-10,0.1-10,1.4
30-Jul-2025,Ganga,KANHAR,25-Nov,0.1-10,0.1-10,0.1-10,25-Nov,0.1-10,0.1-10,1.6
30-Jul-2025,Ganga,UPPER SON,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,3.5
31-Jul-2025,Ganga,KOSI/MAHANANDA,0.1-10,25-Nov,26-37,26-37,25-Nov,0.1-10,0.1-10,7.1
31-Jul-2025,Ganga,BAGMATI/ADHWARA,0.1-10,0.1-10,26-37,26-37,25-Nov,0.1-10,0.1-10,2.4
31-Jul-2025,Ganga,GANDAK,0.1-10,0.1-10,26-37,26-37,25-Nov,0.1-10,0.1-10,3.1
31-Jul-2025,Ganga,SON,0.1-10,25-Nov,25-Nov,25-Nov,25-Nov,0.1-10,0.1-10,9.0
31-Jul-2025,Ganga,PUNPUN/DHAB NADI,0.1-10,25-Nov,25-Nov,25-Nov,25-Nov,0.1-10,0.1-10,8.5
31-Jul-2025,Ganga,NORTH KOEL,0.1-10,25-Nov,25-Nov,25-Nov,0.1-10,0.1-10,0.1-10,9.5
31-Jul-2025,Ganga,KANHAR,25-Nov,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,12.6
31-Jul-2025,Ganga,UPPER SON,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,2.3
01-Aug-2025,Ganga,KOSI/MAHANANDA,25-Nov,38-50,25-Nov,26-37,0.1-10,0.1-10,25-Nov,7.8
01-Aug-2025,Ganga,BAGMATI/ADHWARA,25-Nov,26-37,26-37,26-37,0.1-10,0.1-10,0.1-10,1.5
01-Aug-2025,Ganga,GANDAK,25-Nov,25-Nov,26-37,26-37,0.1-10,0.1-10,0.1-10,4.9
01-Aug-2025,Ganga,SON,25-Nov,25-Nov,25-Nov,25-Nov,0.1-10,0.1-10,25-Nov,3.0
01-Aug-2025,Ganga,PUNPUN/DHAB NADI,26-37,26-37,26-37,25-Nov,0.1-10,0.1-10,25-Nov,18.2
01-Aug-2025,Ganga,NORTH KOEL,25-Nov,25-Nov,25-Nov,0.1-10,0.1-10,0.1-10,25-Nov,2.3
01-Aug-2025,Ganga,KANHAR,25-Nov,0.1-10,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,1.9
01-Aug-2025,Ganga,UPPER SON,0.1-10,25-Nov,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,0.5
02-Aug-2025,Ganga,KOSI/MAHANANDA,38-50,26-37,25-Nov,25-Nov,0.1-10,25-Nov,25-Nov,6.6
02-Aug-2025,Ganga,BAGMATI/ADHWARA,26-37,38-50,25-Nov,25-Nov,0.1-10,0.1-10,25-Nov,19.7
02-Aug-2025,Ganga,GANDAK,25-Nov,26-37,26-37,0.1-10,0.1-10,0.1-10,25-Nov,12.9
02-Aug-2025,Ganga,SON,25-Nov,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,3.6
02-Aug-2025,Ganga,PUNPUN/DHAB NADI,25-Nov,25-Nov,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,28.3
02-Aug-2025,Ganga,NORTH KOEL,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.5
02-Aug-2025,Ganga,KANHAR,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,2.7
02-Aug-2025,Ganga,UPPER SON,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,8.0
03-Aug-2025,Ganga,KOSI/MAHANANDA,26-37,26-37,25-Nov,0.1-10,0.1-10,25-Nov,25-Nov,32.7
03-Aug-2025,Ganga,BAGMATI/ADHWARA,38-50,26-37,25-Nov,0.1-10,0.1-10,25-Nov,25-Nov,31.8
03-Aug-2025,Ganga,GANDAK,38-50,38-50,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,28.6
03-Aug-2025,Ganga,SON,26-37,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,19.7
03-Aug-2025,Ganga,PUNPUN/DHAB NADI,25-Nov,25-Nov,0.1-10,0.1-10,25-Nov,0.1-10,25-Nov,15.2
03-Aug-2025,Ganga,NORTH KOEL,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,14.3
03-Aug-2025,Ganga,KANHAR,25-Nov,25-Nov,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,32.1
03-Aug-2025,Ganga,UPPER SON,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,0.1-10,22.7
04-Aug-2025,Ganga,KOSI/MAHANANDA,25-Nov,0.1-10,0.1-10,25-Nov,26-37,25-Nov,26-37,42.6
04-Aug-2025,Ganga,BAGMATI/ADHWARA,25-Nov,0.1-10,0.1-10,25-Nov,25-Nov,25-Nov,25-Nov,39.1
04-Aug-2025,Ganga,GANDAK,25-Nov,0.1-10,0.1-10,25-Nov,25-Nov,25-Nov,25-Nov,43.0
04-Aug-2025,Ganga,SON,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,20.9
04-Aug-2025,Ganga,PUNPUN/DHAB NADI,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,20.5
04-Aug-2025,Ganga,NORTH KOEL,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,0.1-10,0.1-10,23.1
04-Aug-2025,Ganga,KANHAR,25-Nov,0.1-10,0.1-10,0.1-10,25-Nov,0.1-10,0.1-10,41.9
04-Aug-2025,Ganga,UPPER SON,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,0.1-10,0.1-10,13.7
05-Aug-2025,Ganga,KOSI/MAHANANDA,0.1-10,0.1-10,0.1-10,26-37,25-Nov,25-Nov,26-37,15.0
05-Aug-2025,Ganga,BAGMATI/ADHWARA,0.1-10,0.1-10,0.1-10,25-Nov,0.1-10,25-Nov,25-Nov,17.0
05-Aug-2025,Ganga,GANDAK,0.1-10,0.1-10,0.1-10,26-37,25-Nov,25-Nov,25-Nov,24.9
05-Aug-2025,Ganga,SON,25-Nov,0.1-10,25-Nov,25-Nov,0.1-10,0.1-10,25-Nov,11.0
05-Aug-2025,Ganga,PUNPUN/DHAB NADI,0.1-10,0.1-10,0.1-10,25-Nov,0.1-10,0.1-10,25-Nov,10.0
05-Aug-2025,Ganga,NORTH KOEL,0.1-10,0.1-10,0.1-10,25-Nov,0.1-10,0.1-10,0.1-10,2.7
05-Aug-2025,Ganga,KANHAR,25-Nov,0.1-10,0.1-10,25-Nov,0.1-10,0.1-10,25-Nov,7.4
05-Aug-2025,Ganga,UPPER SON,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,2.4
06-Aug-2025,Ganga,KOSI/MAHANANDA,0.1-10,25-Nov,26-37,25-Nov,25-Nov,26-37,26-37,10.6
06-Aug-2025,Ganga,BAGMATI/ADHWARA,0.1-10,25-Nov,26-37,25-Nov,25-Nov,25-Nov,26-37,1.7
06-Aug-2025,Ganga,GANDAK,0.1-10,25-Nov,26-37,26-37,25-Nov,25-Nov,26-37,3.4
06-Aug-2025,Ganga,SON,0.1-10,26-37,25-Nov,0.1-10,0.1-10,25-Nov,25-Nov,5.3
06-Aug-2025,Ganga,PUNPUN/DHAB NADI,0.1-10,25-Nov,25-Nov,25-Nov,0.1-10,25-Nov,25-Nov,2.5
06-Aug-2025,Ganga,NORTH KOEL,0.1-10,25-Nov,0.1-10,25-Nov,0.1-10,0.1-10,0.1-10,3.9
06-Aug-2025,Ganga,KANHAR,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,2.5
06-Aug-2025,Ganga,UPPER SON,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,1.8
07-Aug-2025,Ganga,KOSI/MAHANANDA,25-Nov,26-37,26-37,25-Nov,25-Nov,25-Nov,25-Nov,1.3
07-Aug-2025,Ganga,BAGMATI/ADHWARA,25-Nov,25-Nov,25-Nov,0.1-10,25-Nov,0.1-10,0.1-10,0.6
07-Aug-2025,Ganga,GANDAK,0.1-10,25-Nov,25-Nov,0.1-10,25-Nov,25-Nov,25-Nov,2.2
07-Aug-2025,Ganga,SON,0.1-10,25-Nov,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,4.1
07-Aug-2025,Ganga,PUNPUN/DHAB NADI,25-Nov,25-Nov,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,3.4
07-Aug-2025,Ganga,NORTH KOEL,0.1-10,25-Nov,0.1-10,0.1-10,25-Nov,25-Nov,25-Nov,8.1
07-Aug-2025,Ganga,KANHAR,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,7.0
07-Aug-2025,Ganga,UPPER SON,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,0.1-10,1.1
08-Aug-2025,Ganga,KOSI/MAHANANDA,25-Nov,25-Nov,25-Nov,25-Nov,25-Nov,25-Nov,0.1-10,12.2
08-Aug-2025,Ganga,BAGMATI/ADHWARA,25-Nov,25-Nov,0.1-10,0.1-10,25-Nov,0.1-10,0.1-10,13.5
08-Aug-2025,Ganga,GANDAK,25-Nov,0.1-10,0.1-10,25-Nov,25-Nov,0.1-10,0.1-10,5.5
08-Aug-2025,Ganga,SON,25-Nov,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,0.1-10,19.0
08-Aug-2025,Ganga,PUNPUN/DHAB NADI,25-Nov,0.1-10,0.1-10,0.1-10,25-Nov,0.1-10,0.1-10,9.5
08-Aug-2025,Ganga,NORTH KOEL,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,25-Nov,17.0
08-Aug-2025,Ganga,KANHAR,25-Nov,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,25-Nov,21.5
08-Aug-2025,Ganga,UPPER SON,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,25-Nov,10.0
09-Aug-2025,Ganga,KOSI/MAHANANDA,0.1-10,0.1-10,0.1-10,25-Nov,0.1-10,0.1-10,0.1-10,13.4
09-Aug-2025,Ganga,BAGMATI/ADHWARA,0.1-10,0.1-10,0.1-10,25-Nov,0.1-10,0.1-10,0.1-10,12.8
09-Aug-2025,Ganga,GANDAK,25-Nov,0.1-10,0.1-10,25-Nov,0.1-10,0.1-10,0.1-10,13.2
09-Aug-2025,Ganga,SON,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,4.6
09-Aug-2025,Ganga,PUNPUN/DHAB NADI,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,5.7
09-Aug-2025,Ganga,NORTH KOEL,0.1-10,0.1-10,0.1-10,25-Nov,0.1-10,0.1-10,0.1-10,3.0
09-Aug-2025,Ganga,KANHAR,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,25-Nov,0.1-10,6.4
09-Aug-2025,Ganga,UPPER SON,0.1-10,0.1-10,0.1-10,25-Nov,0.1-10,25-Nov,25-Nov,14.3
10-Aug-2025,Ganga,KOSI/MAHANANDA,0.1-10,0.1-10,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,4.5
10-Aug-2025,Ganga,BAGMATI/ADHWARA,0.1-10,0.1-10,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,6.6
10-Aug-2025,Ganga,GANDAK,0.1-10,0.1-10,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,7.1
10-Aug-2025,Ganga,SON,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,6.0
10-Aug-2025,Ganga,PUNPUN/DHAB NADI,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,7.5
10-Aug-2025,Ganga,NORTH KOEL,0.1-10,0.1-10,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,0.9
10-Aug-2025,Ganga,KANHAR,0.1-10,0.1-10,25-Nov,25-Nov,25-Nov,0.1-10,25-Nov,6.1
10-Aug-2025,Ganga,UPPER SON,0.1-10,25-Nov,25-Nov,25-Nov,25-Nov,25-Nov,25-Nov,11.8
11-Aug-2025,Ganga,KOSI/MAHANANDA,25-Nov,26-37,25-Nov,25-Nov,0.1-10,0.1-10,0.1-10,6.8
11-Aug-2025,Ganga,BAGMATI/ADHWARA,0.1-10,26-37,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,12.6
11-Aug-2025,Ganga,GANDAK,0.1-10,25-Nov,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,9.1
11-Aug-2025,Ganga,SON,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,1.3
11-Aug-2025,Ganga,PUNPUN/DHAB NADI,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,6.1
11-Aug-2025,Ganga,NORTH KOEL,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,4.7
11-Aug-2025,Ganga,KANHAR,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,8.0
11-Aug-2025,Ganga,UPPER SON,0.1-10,25-Nov,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,2.4
12-Aug-2025,Ganga,KOSI/MAHANANDA,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,5.7
12-Aug-2025,Ganga,BAGMATI/ADHWARA,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,3.9
12-Aug-2025,Ganga,GANDAK,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,2.9
12-Aug-2025,Ganga,SON,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,2.8
12-Aug-2025,Ganga,PUNPUN/DHAB NADI,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,3.3
12-Aug-2025,Ganga,NORTH KOEL,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,6.5
12-Aug-2025,Ganga,KANHAR,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,14.7
12-Aug-2025,Ganga,UPPER SON,0.1-10,25-Nov,0.1-10,25-Nov,25-Nov,25-Nov,25-Nov,2.7
13-Aug-2025,Ganga,KOSI/MAHANANDA,25-Nov,0.1-10,0.1-10,25-Nov,0.1-10,0.1-10,0.1-10,45.8
13-Aug-2025,Ganga,BAGMATI/ADHWARA,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,19.1
13-Aug-2025,Ganga,GANDAK,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,17.9
13-Aug-2025,Ganga,SON,26-37,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,21.6
13-Aug-2025,Ganga,PUNPUN/DHAB NADI,26-37,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,10.9
13-Aug-2025,Ganga,NORTH KOEL,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,12.7
13-Aug-2025,Ganga,KANHAR,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,28.8
13-Aug-2025,Ganga,UPPER SON,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,15.2
14-Aug-2025,Ganga,KOSI/MAHANANDA,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,9.8
14-Aug-2025,Ganga,BAGMATI/ADHWARA,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,20.8
14-Aug-2025,Ganga,GANDAK,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,15.0
14-Aug-2025,Ganga,SON,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,10.8
14-Aug-2025,Ganga,PUNPUN/DHAB NADI,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,19.6
14-Aug-2025,Ganga,NORTH KOEL,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,1.1
14-Aug-2025,Ganga,KANHAR,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,0.1-10,1.7
14-Aug-2025,Ganga,UPPER SON,0.1-10,25-Nov,25-Nov,0.1-10,25-Nov,25-Nov,25-Nov,4.7
15-Aug-2025,Ganga,KOSI/MAHANANDA,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,0.9
15-Aug-2025,Ganga,BAGMATI/ADHWARA,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,3.1
15-Aug-2025,Ganga,GANDAK,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,1.1
15-Aug-2025,Ganga,SON,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,2.6
15-Aug-2025,Ganga,PUNPUN/DHAB NADI,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,0.9
15-Aug-2025,Ganga,NORTH KOEL,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,1.5
15-Aug-2025,Ganga,KANHAR,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,0.5
15-Aug-2025,Ganga,UPPER SON,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,0.1
16-Aug-2025,Ganga,KOSI/MAHANANDA,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,25-Nov,26-37,0.2
16-Aug-2025,Ganga,BAGMATI/ADHWARA,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,0.4
16-Aug-2025,Ganga,GANDAK,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,26-37,0.4
16-Aug-2025,Ganga,SON,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,0.1
16-Aug-2025,Ganga,PUNPUN/DHAB NADI,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,26-37,0.3
16-Aug-2025,Ganga,NORTH KOEL,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,0.3
16-Aug-2025,Ganga,KANHAR,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,25-Nov,0.8
16-Aug-2025,Ganga,UPPER SON,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,25-Nov,5.9
17-Aug-2025,Ganga,KOSI/MAHANANDA,25-Nov,0.1-10,25-Nov,25-Nov,25-Nov,25-Nov,25-Nov,0.2
17-Aug-2025,Ganga,BAGMATI/ADHWARA,25-Nov,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,0.1-10,0.7
17-Aug-2025,Ganga,GANDAK,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,0.1-10,0.3
17-Aug-2025,Ganga,SON,0.1-10,0.1-10,0.1-10,0.1-10,25-Nov,26-37,26-37,0.1
17-Aug-2025,Ganga,PUNPUN/DHAB NADI,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,26-37,26-37,0.1
17-Aug-2025,Ganga,NORTH KOEL,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,26-37,26-37,0.0
17-Aug-2025,Ganga,KANHAR,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,26-37,26-37,0.2
17-Aug-2025,Ganga,UPPER SON,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,26-37,26-37,3.4
18-Aug-2025,Ganga,KOSI/MAHANANDA,0.1-10,0.1-10,25-Nov,25-Nov,25-Nov,25-Nov,25-Nov,9.1
18-Aug-2025,Ganga,BAGMATI/ADHWARA,0.1-10,0.1-10,0.1-10,25-Nov,0.1-10,25-Nov,0.1-10,6.5
18-Aug-2025,Ganga,GANDAK,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,25-Nov,0.1-10,4.6
18-Aug-2025,Ganga,SON,0.1-10,0.1-10,0.1-10,25-Nov,25-Nov,25-Nov,0.1-10,5.2
18-Aug-2025,Ganga,PUNPUN/DHAB NADI,0.1-10,0.1-10,25-Nov,25-Nov,25-Nov,26-37,0.1-10,5.5
18-Aug-2025,Ganga,NORTH KOEL,0.1-10,0.1-10,0.1-10,25-Nov,26-37,26-37,25-Nov,1.0
18-Aug-2025,Ganga,KANHAR,0.1-10,0.1-10,25-Nov,25-Nov,26-37,25-Nov,25-Nov,0.8
18-Aug-2025,Ganga,UPPER SON,0.1-10,0.1-10,25-Nov,25-Nov,26-37,25-Nov,25-Nov,2.7
19-Aug-2025,Ganga,KOSI/MAHANANDA,0.1-10,25-Nov,25-Nov,25-Nov,25-Nov,25-Nov,0.1-10,3.9
19-Aug-2025,Ganga,BAGMATI/ADHWARA,0.1-10,0.1-10,25-Nov,25-Nov,25-Nov,25-Nov,0.1-10,2.8
19-Aug-2025,Ganga,GANDAK,0.1-10,0.1-10,25-Nov,25-Nov,25-Nov,25-Nov,0.1-10,2.3
19-Aug-2025,Ganga,SON,0.1-10,0.1-10,25-Nov,26-37,25-Nov,25-Nov,0.1-10,3.6
19-Aug-2025,Ganga,PUNPUN/DHAB NADI,0.1-10,0.1-10,25-Nov,26-37,25-Nov,25-Nov,0.1-10,2.8
19-Aug-2025,Ganga,NORTH KOEL,0.1-10,0.1-10,25-Nov,26-37,25-Nov,25-Nov,25-Nov,2.8
19-Aug-2025,Ganga,KANHAR,0.1-10,0.1-10,26-37,26-37,26-37,25-Nov,25-Nov,2.3
19-Aug-2025,Ganga,UPPER SON,0.1-10,0.1-10,25-Nov,25-Nov,26-37,25-Nov,0.1-10,1.6
20-Aug-2025,Ganga,KOSI/MAHANANDA,0.1-10,25-Nov,25-Nov,25-Nov,25-Nov,25-Nov,0.1-10,2.2
20-Aug-2025,Ganga,BAGMATI/ADHWARA,0.1-10,0.1-10,25-Nov,25-Nov,25-Nov,0.1-10,0.1-10,0.3
20-Aug-2025,Ganga,GANDAK,0.1-10,0.1-10,25-Nov,25-Nov,25-Nov,25-Nov,0.1-10,0.5
20-Aug-2025,Ganga,SON,0.1-10,0.1-10,26-37,25-Nov,25-Nov,0.1-10,0.1-10,1.2
20-Aug-2025,Ganga,PUNPUN/DHAB NADI,0.1-10,25-Nov,25-Nov,25-Nov,25-Nov,25-Nov,0.1-10,1.4
20-Aug-2025,Ganga,NORTH KOEL,0.1-10,25-Nov,26-37,25-Nov,25-Nov,25-Nov,0.1-10,0.7
20-Aug-2025,Ganga,KANHAR,0.1-10,25-Nov,25-Nov,26-37,25-Nov,25-Nov,0.1-10,2.8
20-Aug-2025,Ganga,UPPER SON,25-Nov,25-Nov,25-Nov,25-Nov,25-Nov,25-Nov,25-Nov,3.6
21-Aug-2025,Ganga,KOSI/MAHANANDA,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,9.6
21-Aug-2025,Ganga,BAGMATI/ADHWARA,0.1-10,0.1-10,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,5.0
21-Aug-2025,Ganga,GANDAK,0.1-10,0.1-10,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,1.6
21-Aug-2025,Ganga,SON,0.1-10,25-Nov,26-37,25-Nov,25-Nov,25-Nov,0.1-10,2.3
21-Aug-2025,Ganga,PUNPUN/DHAB NADI,0.1-10,25-Nov,25-Nov,25-Nov,25-Nov,0.1-10,0.1-10,5.4
21-Aug-2025,Ganga,NORTH KOEL,25-Nov,26-37,25-Nov,25-Nov,25-Nov,0.1-10,0.1-10,1.0
21-Aug-2025,Ganga,KANHAR,25-Nov,26-37,25-Nov,25-Nov,25-Nov,0.1-10,0.1-10,3.1
21-Aug-2025,Ganga,UPPER SON,25-Nov,25-Nov,25-Nov,25-Nov,25-Nov,0.1-10,0.1-10,5.9
22-Aug-2025,Ganga,KOSI/MAHANANDA,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,5.1
22-Aug-2025,Ganga,BAGMATI/ADHWARA,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,1.4
22-Aug-2025,Ganga,GANDAK,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,9.4
22-Aug-2025,Ganga,SON,25-Nov,26-37,25-Nov,25-Nov,25-Nov,0.1-10,0.1-10,13.2
22-Aug-2025,Ganga,PUNPUN/DHAB NADI,25-Nov,25-Nov,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,5.4
22-Aug-2025,Ganga,NORTH KOEL,26-37,25-Nov,25-Nov,25-Nov,0.1-10,0.1-10,0.1-10,16.8
22-Aug-2025,Ganga,KANHAR,25-Nov,25-Nov,25-Nov,25-Nov,25-Nov,25-Nov,0.1-10,6.9
22-Aug-2025,Ganga,UPPER SON,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,4.5
23-Aug-2025,Ganga,KOSI/MAHANANDA,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,6.1
23-Aug-2025,Ganga,BAGMATI/ADHWARA,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,2.9
23-Aug-2025,Ganga,GANDAK,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,15.7
23-Aug-2025,Ganga,SON,26-37,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,28.6
23-Aug-2025,Ganga,PUNPUN/DHAB NADI,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,20.4
23-Aug-2025,Ganga,NORTH KOEL,26-37,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,32.5
23-Aug-2025,Ganga,KANHAR,26-37,25-Nov,0.1-10,25-Nov,0.1-10,0.1-10,0.1-10,23.7
23-Aug-2025,Ganga,UPPER SON,25-Nov,0.1-10,0.1-10,25-Nov,25-Nov,0.1-10,0.1-10,13.3
24-Aug-2025,Ganga,KOSI/MAHANANDA,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,6.9
24-Aug-2025,Ganga,BAGMATI/ADHWARA,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,4.8
24-Aug-2025,Ganga,GANDAK,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,3.7
24-Aug-2025,Ganga,SON,25-Nov,25-Nov,0.1-10,0.1-10,0.1-10,0.1-10,0.1-10,18.6
